_id,theme,source,title,description,published_on,company 1,company 2,company 3,company 4,,,,,
95,executive_movements,bing,Nichols joins Coplin Health Systems,Dr. Darrin E. Nichols has joined Coplin Health Systems at its Wirt County Family Care location. Nichols is from Walker and is a native of Wirt County. He is excited to return home and offer quality care to the community.,2020-08-01T06:47:00.0000000Z,,,,,,,,,
96,executive_movements,bing,Greg Gonzalez joins Core Spaces as Director of Acquisitions,"Focusing on growing Cores development and acquisition pipeline in select conventional markets, Greg Gonzalez will be based in Chicago.",2020-07-31T23:40:00.0000000Z,,,,,,,,,
97,executive_movements,bing,"Capitol Federal Financial, Inc.Â® Appoints Carlton A. Ricketts to Board of Directors; Increases the Size of Board to Nine Members","Capitol Federal Financial, Inc.Â® Appoints Carlton A. Ricketts to Board of Directors; Increases the Size of Board to Nine Members",2020-07-31T18:56:00.0000000Z,,,,,,,,,
98,executive_movements,bing,Kona Community Hospital appoints new CEO,"The new CEO will begin his role on Aug. 10, taking it over from interim CEO Jay Kreuzer who has been in the position since April after the hospital's previous CEO, Anna Chiotti, went on leave just two months into the job.",2020-07-31T17:52:00.0000000Z,,,,,,,,,
99,executive_movements,bing,Durante Rentals Appoints Liam J. Harrington as President,"Durante Rentals announced the appointment of Liam J. Harrington as their new President. In this expanded role, Liam will be responsible for day-to-day operations, sales, marketing, technology, and finance.",2020-07-31T10:53:00.0000000Z,,,,,,,,,
100,executive_movements,bing,PCB appoints new CFO after six months,LAHORE: The Pakistan Cricket Board (PCB) has appointed its new chief financial officer (CFO) after six months. Javed Murtaza is the new CFO. The emergency meeting of the Board of Governors summoned on Thursday gave approval to the appointment.,2020-08-01T03:28:00.0000000Z,,,,,,,,,
101,executive_movements,bing,Zilliqa appoints crypto custody service Onchain Custodian to secure assets,"Zilliqa, the high-performance and high-security blockchain platform, announced that it has selected Singapore-based crypto custody service Onchain Custodian to secure its networks assets.",2020-08-01T03:20:00.0000000Z,,,,,,,,,
102,executive_movements,bing,Marvell Appoints AT&T's Marachel Knight to its Board of Directors,"We are thrilled to have Marachel join the Marvell Board, and I'm personally excited about her background and expertise, said Matt Murphy, president and CEO of Marvell. ""Given ou",2020-07-31T11:57:00.0000000Z,,,,,,,,,
103,executive_movements,bing,StoneLock Appoints Enterprise Security Trailblazer as GM,"Biometrics specialist StoneLock has promoted one of its own to the role of General Manager. Yanik Brunet, who previously served as the",2020-07-31T21:21:00.0000000Z,,,,,,,,,
104,executive_movements,bing,Feenics appoints industry veteran Jeff Ross as new director of marketing,"Ross joins the company with long-time experience in product management, marketing, access control and cloud-hosted solutions",2020-07-31T19:26:00.0000000Z,,,,,,,,,
105,executive_movements,bing,Nordea appoints Ulrika Romantschuk as Head of B...,"Ulrika Romantschuk will join Nordea as Head of Brand, Communications and Marketing. She will also become a member of the Group Leadership Team. Ulrika Romantschuk, 54, currently serves as Executive Vice President,",2020-07-31T11:43:00.0000000Z,,,,,,,,,
106,ipos,bing,IPO Update:  Proposes IPO Terms,Acutus Medical intends to raise $125 million in an IPO of its common stock. The firm is developing and commercializing cardiac ablation tools.,2020-07-31T17:00:00.0000000Z,,,,,,,,,
107,ipos,bing,Checkmate Pharmaceuticals Begins IPO Process,Checkmate Pharmaceuticals has filed to raise $75 million in an IPO. The firm is developing a drug candidate for the treatment of various cancers.,2020-07-31T16:34:00.0000000Z,,,,,,,,,
108,ipos,bing,Eventbrite co-founder joins 'blank check' IPO parade with plans to raise up to $230M,"Kevin Hartz, co-founder of Eventbrite Inc., filed plans on Thursday to raise up to $230 million in a ""blank check"" IPO with the goal of doing a reverse merger with a tech company. Hartz is joined at the new San Francisco company,",2020-07-31T12:44:00.0000000Z,,,,,,,,,
109,ipos,bing,AlloVir raises $276M IPO to run broad cell therapy program,AlloVir has raised $276 million in an upsized IPO to fund development of allogeneic T-cell treatments for viral diseases. The money will equip AlloVir to embark on a broad clinical development program for a phase 3-ready cell therapy that targets five viruses.,2020-07-31T12:25:00.0000000Z,,,,,,,,,
110,ipos,bing,Exclusive: SenseTime eyes STAR market IPO after $1.5 billion fundraising - sources,"Chinese start-up SenseTime is considering an initial public offering (IPO) on China's tech-focused STAR market after its latest fundraising that will value the company at $10 billion, three people with knowledge of the matter said.",2020-07-31T10:48:00.0000000Z,,,,,,,,,
111,ipos,bing,Vital Farms shares soar 63% in trading debut after IPO priced above proposed range,"Shares of ethical food company Vital Farms Inc. undefined soared 63% in their trading debut Friday, after the company's initial public offering priced at",2020-07-31T16:45:00.0000000Z,,,,,,,,,
112,ipos,bing,Conscious agribusiness Vital Farms goes public,"You can find their eggs in Whole Foods, Walmart and other big stores. Now you can find their stock on the Nasdaq, too.",2020-07-31T20:26:00.0000000Z,,,,,,,,,
113,ipos,bing,"ESSA Pharma Completes Public Offering for Aggregate Gross Proceeds of US$48,990,000","ESSA Pharma Inc. (""ESSA"", or the ""Company"") (Nasdaq: EPIX) (TSX-V: EPI), a clinical-stage pharmaceutical company focused on developing novel therapies for the treatment of prostate cancer, today announced the closing of an underwritten public offering of 7,",2020-07-31T14:21:00.0000000Z,,,,,,,,,
